name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedin_url,email,lat,lng
EatOrToss,Washington,DC,USA,National,"Is it OK to eat? With loads of images and quick, science-based explanations, EatOrToss helps give you peace of mind about all the things that go bump in your kitchen. The website's mission is to take the �doubt� out of �when in doubt, throw it out,� so you can waste less and eat more.",Nonprofit,Prevention,Consumer Education,Consumer Education Campaigns,Consumer Education Campaigns,2016,http://www.EatOrToss.com,https://www.facebook.com/Eatortoss-386214428389541/,https://twitter.com/eatortoss,https://www.linkedin.com/company/27147252/admin/,EatOrToss@gmail.com,38.9314493,-77.031981
"Ecoverse, Tiger Depackaging System",Cleveland,OH,USA,Local,"Ecoverse represents the Tiger Depackaging System. The Tiger Depack helps divert organic waste from landfills and provides valuable nutrients to compost facilities and animal nutrition while also providing energy feedstock to renewable energy outlets such as anaerobic digestion. The Tiger Depack equipment maximizes revenue potential, production levels, compost quality, (renewable) energy potential, value of recyclables and regulatory compliance. The machine reduces organic contamination, energy consumption, overhead expenses, disposal fees, utility costs, down time and operational footprint. After the Tiger depackaging/separation process, organics are contaminant-free and the packaging material is well-suited for immediate re-purposing.",For-Profit,Recycling,On-Site Processing Solutions,"Centralized Composting, Centralized Anaerobic Digestion, Byproducts, Industrial Products",Centralized Anaerobic Digestion ,2001,http://www.ecoverse.net/,https://www.facebook.com/Ecoverse360,https://twitter.com/Ecoverse360,https://www.linkedin.com/company/ecoverse/,CRossen@Ecoverse.net,38.9048626,-77.0340224
"Electro-Active Techologies, LLC",Knoxville,TN,USA,National,"Electro-Active Technologies is developing a food waste conversion technology to produce zero emission fuel (H2) and a by-product which can be used either as a soil additive or as an animal feed. Electro-Active Technologies fights food waste via a three-fold approach: 1. Preventing  food waste from going to landfill and releasing methane, a potent greenhouse gas, 2. Conversion of food waste into a value added product, with potential up-cycling of the waste to animal feed and 3. Return of key nutrients back to soil via conversion of waste into a soil additive",For-Profit,Prevention,Renewable Energy from Organics,"Value-Added Processing, Water Resource Recovery Facility (WRRF) with AD, Animal Feed, Byproducts, Commercial Greywater, Food Scraps",Centralized Anaerobic Digestion ,2017,http://www.electroactive.tech,https://www.facebook.com/electroactive.tech/,https://twitter.com/electro_activet,https://www.linkedin.com/company/electro-active-technologies-llc/,aborole@electroactive.tech,35.9606384,-83.9207392
Food Link,Arlington,MA,USA,Local ,"Food Link works with grocery stores, cafe's, and food producers to redistribute wholesome product that would otherwise be wasted to non-profit and social service agencies in the community. We have close relationships with our recipient agencies that help us provide them only with the food that they need. The majority of our work in conducted by volunteers, engaging them in the issue in a deeper way. Many of our volunteers recount that working with Food Link has changed they way they eat at home and talk to their community about food waste.",Nonprofit,Recovery,Donation Transportation,"Donation Storage & Handling, Donation Transportation",Donation Storage & Handling,2012,Http://www.foodlinkma.org,https://www.facebook.com/foodlinkma,,,espringuel@foodlinkma.org,42.422349,-71.1630121
FoodCache,Fremont,CA,USA,National,"FoodCache, division of Rakshati is mobile platform that will help households manage food inventory, measure and reduce their food waste. Users build food inventories, then receive prompts to use that food up. Analytics provide insights into food that households eat & waste the most, which helps them to improve their food purchasing habits.",For-Profit,Prevention,Operational & Supply Chain Efficiency,"Improved Inventory Management, Waste Tracking and Analytics",Waste Tracking & Analytics,2017,https://foodcacheapp.com,,https://twitter.com/foodcacheapp,,team@foodcacheapp.com,,
foodSCAPE,East Greenwich,RI,USA,Local ,"foodSCAPE works with schools, students, parents and food service providers to reduce food waste by focusing on healthy choices for students, donating useable food to people in need, and diverting the rest of the food from the landfill to animal feed, composting, or energy production. foodSCAPE has worked with the RI Department of Health to develop guidelines for the safe recovery of nutritious food from school meals to be donated to organizations that care for people in need. We will be working with the Rhode Island Department of Education to distribute these guidelines and following up to help with technical assistance and education programs to support food rescue and food waste diversion.",Nonprofit,Prevention,Consumer Education,"Consumer Education Campaigns, Donation Liability Education, Animal Feed, Community Composting and Distributed Anaerobic Digestion",Consumer Education Campaigns,2018,http://foodscaperi.org,,,,foodSCAPEri@gmail.com,41.652022,-71.46787
Fresh Food Connect,Denver,CO,USA,National,"Fresh Food Connect is a app based platform that unlocks the power of homegrown food, by creating a platform for backyard and community gardeners to sell, trade, or donate their bounty. FFC seeks to reduce food waste and increase access to local food by making it easy and convenient for homegrown food to be bought, sold, and donated to help address food insecurity. FFC licenses its technology to nonprofits and food rescue organizations around the US, who use it to earn revenue while creating a more local and less wasteful food system.",Nonprofit,Prevention,Donation Coordinator,"Produce Specifications (Imperfect Produce), Waste Tracking & Analytics, Secondary Resellers, Donation Matching Software, Donation Transportation, Tools/ Applications",Donation Matching Software,2018,Http://freshfoodconnect.org,https://Facebook.com/freshfoodconnect,,,Candace@freshfoodconnect.org,39.7627607,-104.9730947
Galley Solutions,La Jolla,CA,USA,National,"Galley takes an approach that our customers have said is the only �right way.� We deliver beautiful and easy-to-use tools that empower chefs and their teams to provide  & maintain the core data of recipes,  menus,  and inventory, reducing waste and increasing profit margins. The data that Galley collects will allow us to bridge the gap between food & technology, producing  quantitative and predictive  results about one of the largest industries in the world. By accurately planning production, and purchasing according to the most granular data available, Galley fights food waste upstream.",For-Profit,Prevention,Operational & Supply Chain Efficiency,"Improved Inventory Management, Tools/ Application",Improved Inventory Management,2017,https://www.galleysolutions.co/,,,https://www.linkedin.com/company/galleysolutions/,jonathan@galleysolutions.co,32.841596,-117.2746472
Grow Appalachia,Berea,KY,USA,Regional,"Grow Appalachia partners with community organizations throughout Central Appalachia to strengthen local food systems and economies on the household and commercial scale. Many of the partnering sites engage their communities in food recovery efforts, teach composting methods and food waste prevention best practices to family participants, and provide food preservation education as a means of building household food supply while minimizing prepackaged waste. Additionally, Grow Appalachia has worked with eight communities in central Appalachia to build multiuse kitchen facilities which provide space to manufacture value-added products, operate food recovery and gleaning initiatives, serve community meals, and teach cooking and preservation classes. ",Nonprofit,Prevention,Food Product Creation,"Waste Tracking & Analytics, Value-Added Processing, Donation Storage & Handling, Donation Transportation, Donation Liability Education, Community Composting, Home Composting",Value-Added Processing,2010,https://growappalachia.berea.edu/,https://www.facebook.com/GrowAppalachia,https://twitter.com/GrowAppalachia,,cooked@berea.edu,37.573329,-84.286624
GrubTubs,Austin,TX,USA,Local,"GrubTubs Inc. is dedicated to reconnecting communities with local family farms. Our job is to repurpose the food waste coming from restaurants and grocery stores into nutrient-rich animal feed that is affordable for the local farmer. By diverting waste from landfills and improving business economics for small farmers, we are disrupting an antiquated system that is keeping our country's food, energy, and waste cycles out of balance.",For-Profit,Recycling,Animal Feed,"Donation Storage & Handling, Centralized Composting, Donation Coordinator",Animal Feed,2016,https://www.grubtubs.com,https://www.facebook.com/grubtubs,https://twitter.com/grubtubs,https://www.linkedin.com/company/grubtubs/,ask@grubtubs.com,33.9740238,-118.3501442
Heartside Gleaning Initiative,Grand Rapids,MI,USA,Local ,"Heartside Gleaning Initiative (HGI) empowers Grand Rapid's Heartside and surrounding communities to become healthier through increased access to healthy foods and nutrition education. We do this by collecting excess produce from farmers' markets and transporting it to the low-income neighborhood of Heartside for distribution to individuals, food pantries and free or low-cost meal programs.",Nonprofit,Recovery,Donation Transportation,"Consumer Education Campaigns, Donation Storage & Handling, Donation Transportation, Standardized Donation Regulation, Value-Added Processing, Donation Liability Education, Donation Tax Incentives",Donation Transportation,2014,http://www.heartsidegleaning.org/,https://www.facebook.com/heartsidegleaninginitiative,,,info@heartsidegleaning.org,43.0152786,-85.5964584
Heaven's Windows,Spring Valley,CA,USA,Local ,"We aid families, seniors, homeless individuals, and children with emergency food, summer  and after school meals and snacks, hot meals delivered to homebound seniors, congregate hot meals served, community free food distribution site, and host site for senior job training program.",Nonprofit,Recovery,Donation Coordinator,"Improved Inventory Management, Standardized Date Labeling, Donation Matching Software, Donation Storage & Handling, Donation Transportation, Standardized Donation Regulation, Community Composting",Donation Storage & Handling,2009,http://heavenswindows.org,,,,akret@heavenswindows.org,32.71274227,-117.0331896
Hibbert's Foods LLC,Boulder,CO,USA,National,Hibbert's Foods believes in collecting food right before it reaches the end of its lifecycle and upcycling it for reuse. Hibbert's creates consumer packaged food products from otherwise-wasted food to accelerate the transition to a circular economy.,For-Profit,Recovery,Food Product Creation,"Produce Specifications (Imperfect Produce), Consumer Education Campaigns, Value-Added Processing",Value-Added Processing,2017,https://www.twicerounds.com/,https://www.facebook.com/hibbertstwicerounds/?modal=admin_todo_tour,,,HibbertsTwiceRounds@gmail.com,40.020429,105.274941
"Hidden Acres Farm, Inc.",Tolland,CT,USA,Local ,"Hidden Acres Farm, Inc is an incorporated non-profit based in rural Connecticut that is committed to seed, water and food sovereignty. We are piloting a food waste diversion project in Hartford and Litchfield counties that aims to process approximately 50 tons of solid food waste in eleven months, including gleaned produce for area food banks and soup kitchens.",Nonprofit,Recovery,Donated Food Processing,"Consumer Education Campaigns, Produce Specifications (Imperfect Produce), Donation Storage & Handling, Value-Added Processing, Centralized Composting, Community Composting",Donation Storage & Handling,2012,http://www.ourhiddenacresfarm.org,https://www.facebook.com/ourhiddenacresfarminc/,,,ourhiddenacresfarm@gmail.com,41.91424,-72.34535
Holy Apostles Soup Kitchen,New York,NY,USA,Local ,"Holy Apostles Soup Kitchen is NYC's largest emergency food program with several outreach programs. Through our continued zero waste efforts, we've diverted 25 tons of organic waste from landfills to compostable and renewable energy annually.  This past year we worked with the NYU Capstone Project to convert our paper drinking cups to reusable cups, and this was the first full year we separated and composted our garbage with city pickup. We have also partnered with the NYC Department of Sanitation to become a neighborhood drop-off site for compostable organic waste.",Nonprofit,Recovery,Composting,Improved Inventory Management,Value-Added Processing,1982,http://holyapostlessoupkitchen.org,https://www.facebook.com/holyapostlessoupkitchen,https://twitter.com/HolyApostlesNYC,https://www.linkedin.com/company/holy-apostles-soup-kitchen-church-of-the-holy-apostles/?viewAsMember=true,jvaningen@holyapostlesnyc.org,40.749167,-73.998856
Infield Market,San Diego,CA,USA,National,"The iNFIELD MARKET platform is a secure B2B Multi Storefront e Commerce site built to display product and connect buyers and sellers. We offer this service to qualified Food and Beverage, Nutraceutical and Animal Feed manufacturers and brands in possession of excess ingredient inventories to list and sell their excess materials. The online ingredient market is focused on increasing supply chain efficiency and reducing ingredient waste in manufacturing by displaying real time mapping & inventory and all of the information necessary to make an informed decision. Manufacturing ingredient waste in the landfill is at epidemic levels and commonly overlooked. We aim to create a sharing and efficient business culture.",For-Profit,Recovery,Donation Coordinator,Donation Matching Software,Animal Feed,2017,http://www.infieldmarket.com,,,,tim@infieldmarket.com,42.422349,-71.1630121
Ingest AI,New York,NY,USA,National,"Ingest.AI brings artificial intelligence to the restaurant industry. By effectively predicting operational needs and forecasting demand,�Ingest.AI helps restaurants reduce food waste, improve supply chain functionality, and hone logistics.",For-Profit,Prevention,Operational & Supply Chain Efficiency,Donation Coordinator,Waste Tracking & Analytics,2017,http://www.ingest.ai/,,,,Kenneth@Ingest.AI,39.833736,-77.227801
IoTShipping,Paris,Other,France,National,"Using smart sensors connected to an IoT network with global coverage, we track and trace perishables by temperature, movement and geo-location. Our Internet of Things supply chain logistics assures that you can always independently and autonomously monitor your value assets (wine, truffles, seafood, flowers, pharmaceuticals) in real-time, throughout the transport process.",For-Profit,Prevention,Operational & Supply Chain Efficiency,"Spoilage Prevention Packaging, Waste Tracking & Analytics, Cold Chain Management, Improved Inventory Management, Consumer Education Campaigns, Remote Sensing",Cold Chain Management,2018,http://www.iotshipping.xyz,,,https://www.linkedin.com/in/paigedonner,paigedonner@gmail.com,48.8546,2.3477
LA Compost,Los Angeles,CA,USA,Local ,"The mission of L.A. Compost is to connect the people of LA to the soil, and each other.",Nonprofit,Recycling,Composting,"Home Composting, Community Composting, Consumer Education Campaigns",Centralized Composting,2013,https://www.lacompost.org,,,,michael@lacompost.org,34.1040026,-118.2438086
Last Call,Washington,DC,USA,Local ,"Two George Washington University students, Erin McGeoy and Chloe King, started Last Call in 2018 as a way to provide more affordable meal options to their community of college students, all while helping local businesses reduce their food waste. Last Call is an online platform that allows restaurants, cafes, and grocery stores to discount surplus food they may otherwise throw out, providing high-quality meals to the community for $5 or less. Last Call notifies users of the discounted food available for purchase through the platform, effectively driving traffic to participating stores in off hours or near closing, and helping their partners sell out instead of throw out valuable food.",For-Profit,Prevention,Secondary Marketplaces,"Waste Tracking & Analytics, Improved Inventory Management, Secondary Resellers, Consumer Education Campaigns, Donation Matching Software, Donation Liability Education",Waste Tracking & Analytics,2018,https://lastcallforfood.com/,https://www.facebook.com/lastcallforfood,https://twitter.com/lastcallforfood,https://www.linkedin.com/company/lastcallforfood,chloe@lastcallforfood.com,38.9048626,-77.0340224
Misadventure & Co.,Vista,CA,USA,National,Misadventure & Co. is the first distillery in the world to make high quality spirits from surplus baked goods. All of our feed stock is currently sourced from the San Diego Food Bank.,For-Profit,Prevention,Food Product Creation,"Cold Chain Management, Value-Added Processing, Spoilage Prevention Packaging",Value-Added Processing,2017,http://misadventure.co,https://www.facebook.com/misadventureco,https://twitter.com/misadventureco,,whit@misadventure.co,33.1550575,-117.2234746
Move For Hunger,Red Bank,NJ,USA,National,"Established in 2009, Move For Hunger is the first and only non-profit mobilizing relocation professionals to simultaneously fight hunger and food waste by collecting unopened, non-perishable food from people who are moving and delivering it to local food banks. Move For Hunger has replicated this model across North America by developing formalized, innovative food-rescue programs.  Many people throw out a good deal of �stuff� when they move; unfortunately, a lot of this �stuff� is food that could be delivered to a family in need rather than thrown away.  By teaming up with relocation companies across the country, Move For Hunger is creating one of the nation's largest year-round service",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2009,https://www.moveforhunger.org,https://www.facebook.com/moveforhunger,https://twitter.com/moveforhunger,,adam@moveforhunger.org,40.361548,-74.080043
ORCA Digesters,Toronto,ON,Canada,National,"ORCA diverts unavoidable food waste, like prep waste and leftovers, from landfill where it would decompose and release methane into the air. ORCA uses microbiology and aerobic digestion to turn the food waste into an effluent that is discharged into existing infrastructure (the sanitary sewer system) to transport the food waste. This alternative transportation method eliminates the need for garbage trucks, and the associated diesel gas fumes emitted, to pick up the food waste from your organization.",For-Profit,Recycling,On-Site Processing Solutions,Waste Tracking & Analytics,Centralized Anaerobic Digestion ,2011,https://www.feedtheorca.com,,https://twitter.com/orcadigesters,https://www.linkedin.com/company/orca-digesters/,ateslia@feedtheorca.com,,
PLANETARIANS,Palo Alto,CA,USA,Local,"We up-cycle the oilcakes (dry matter left after oil extracted from seeds) into human food (chips). Historically, oil cakes have only been used in animal feed due to their hard, wood chip-like texture. This hard texture rendered them unappetizing for human consumption. We invented a method to re-purpose oil-cakes for human consumption where oil cakes are used as the main ingredient. Sunflower oilcake contains 35% protein > 22% in bean/chickpea flour and >20% in up-cycled spent grain flour. Sunflower chips made from oilcakes contain 20% protein > 17% in ground beef and >14% in chicken nuggets. Compared to potato chips, sunflower chips have 3x more protein, 2x more fiber and 3x less fat.",For-Profit,Prevention,Food Product Creation,Value-Added Processing,Value-Added Processing,2017,http://planetarians.com/,https://www.facebook.com/planetariansnet/,https://twitter.com/planetariansnet,https://www.linkedin.com/company/planetarians/,am@planetarians.com,32.71274227,-117.0331896
PRESERVE Farm Kitchens,Petaluma,CA,USA,Local ,"On-farm food waste can be between 20 to 40% of the farm's production. Preserve Farm Kitchens works with local farmers to utilize the ""whole harvest,"" including food that is cosmetically imperfect or food that is simply overproduced.",For-Profit,Prevention,Secondary Marketplaces,"Produce Specifications (Imperfect Produce), Value-Added Processing, Centralized Composting",Produce Specifications,2012,http://www.preservefarmkitchens.com,https://www.facebook.com/preservesonoma/,,,molson@preservefarmkitchens.com,38.27,-122.66
"ReCultivateNY, Inc.",Tarrytown,NY,USA,Local,"ReCultivateNY, Inc. has re-imagined how to process source sorted organics and brown organics in New York state by creating a de-centralized compost and soil processing model. As a service provider, ReCultivateNY produces both local and city organics to create compost directly on-site, for specific farm needs. ReCultiaveNY restores the organic matter of these lands, working with the land owners to achieve their fertility goals.",For-Profit,Recycling,Composting,Centralized Composting,Centralized Composting,2015,http://www.recultivateny.com,,,,allison@recultivateny.com,39.066739,-94.590688
RecyclingWorks,Boston,MA,USA,Local,"RecyclingWorks in Massachusetts is a recycling assistance program that helps businesses and institutions maximize recycling, reuse, and food waste diversion opportunities. RecyclingWorks in Massachusetts can provide the tools you need to help you succeed in your efforts. Whether you're looking to start a new program, recycle specific materials, find a service provider, or just explore waste reduction methods.",Nonprofit,Recycling,Composting,Centralized Composting,Centralized Composting,2011,https://recyclingworksma.com/,https://www.facebook.com/recyclingworksma/,https://twitter.com/recyclingwrksma,,info@RecyclingWorksMA.com,41.122,73.7949
Second Spoon,Miami,FL,USA,Local,Second Spoon collects healthy surplus foods from local vendors before redistributing them to the homeless out of food trucks. The truck allows them to mobilize and target concentrated areas where food banks cannot. They raise awareness and offer solutions to guarding against waste through the web site and various social media platforms.,Nonprofit,Recovery,Donation Coordinator,Donation Transportation,Donation Transportation,2018,https://secondspoon.org/,https://www.facebook.com/SecondSpoon1/,https://twitter.com/second_spoon,,info@secondspoon.org,41.91424,-72.34535
Selllout,Las Vegas,NV,USA,National,"Selllout is an online marketplace for sellers and buyers of food that goes unsold, approaches ""best by"" dates, or reaches the end of daily business. These foods are sold to the public using a dutch style auction, meaning as time progresses, the food gets more and more affordable. Sellout's mission is to preserve that resource, and at the same time, feed our communities and help improve the environment.",For-Profit,Prevention,Secondary Marketplaces,"Secondary Resellers, Improved Inventory Management",Secondary Resellers,2019,http://selllout.com,,,,danny@campusfoodservice.com,36.010884,-115.275987
Social Justice Learning Institute,Inglewood,CA,USA,Local ,"The Social Justice Learning Institute (SJLI) is dedicated to improving the education, health, and wellbeing of youth and communities of color by empowering them to enact social change through research, training, and community mobilization. SJLI's Food for Thought Produce Pickup event addresses health disparities and combats diet-related diseases by promoting increase in fruit and vegetable consumption, and encouraging families to incorporate more produce in their eating habits; the event occurs monthly with plans to expand to twice a month. SJLI partners with local nonprofit organization Food Forward and Inglewood Unified School District (IUSD) to execute this by recovering fresh produce from wholesale markets and distributing this produce to families at a local high school. Any produce not selected by the families is composted to replenish SJLI's 100 Seeds for Change network of community and school gardens. Through this program, SJLI creates a local closed-loop food system by offering healthy food to families, empowering individuals to make healthy choices, reducing food waste, and composting so that its community gardens can continue to provide more high quality produce to Inglewood residents.",Nonprofit,Recovery,Donation Coordinator,Donation Transportation,Donation Storage & Handling,2008,http://www.sjli.org,https://www.facebook.com/mySJLI/,https://twitter.com/sjli_ca,https://www.linkedin.com/company/social-justice-learning-institute/,schang@sjli.org,33.9740238,-118.3501442
TeleSense,Sunnyvale,CA,USA,National,"TeleSense is a Silicon Valley-based Internet of Things (IoT) company providing cost-effective environmental monitoring and control solutions with the goal of increasing efficiency and public safety. Our self-configuring hardware can be deployed in minutes to sense environmental conditions in real time, generating alerts that can help maintain health and safety standards, prevent disasters, cut costs, and save lives. TeleSense products are customizable and scalable, with a wide variety of applications including temperature and cold chain monitoring, FDA/USDA compliance, energy optimization, and predictive maintenance",For-Profit,Prevention,Operational & Supply Chain Efficiency,"Supply Chain and Operational Efficiency, Remote Sensing, Tools/ Applications",Improved Inventory Management,2013,https://www.telesense.com,https://www.facebook.com/mytelesense/,https://twitter.com/mytelesense,https://www.linkedin.com/company/telesense/,info@telesense.com,36.165082,86.858645
The Compost Fairy,Memphis,TN,USA,Local ,"Compost Fairy is a 501c3 tasked with diverting organic material from the landfill, as well as processing and returning that material to the community as soil building compost. We also focus on cultural change, educating the community and increasing the value of sustainable organics management in the midsouth. We are in the process of developing research and development capacity to test compostable materials and create as test new products.",Nonprofit,Recycling,Composting,"Consumer Education Campaigns, Community Composting, Centralized Composting, Food Scraps",Centralized Composting,2017,http://www.compostfairy.com,https://www.facebook.com/compostfairy,http://twitter.com/compost_fairy,,thecompostfairy@yahoo.com,35.122985,90.010013
The Gleaning Project of South Central Pennsylvania,Gettysburg,PA,USA,Local ,"The Gleaning Project is South Central Pennsylvania's collaborative, nonprofit effort to reduce food loss on local farms, and increase food security in our communities. We are part of South Central Community Action Programs (SCCAP). Our mission is to: connect our community, make good use of agricultural excess, and reduce hunger and improve nutrition. On average, we are able to recover about 300,000 pounds of produce each year and get it into the hands of individuals experiencing food insecurity.",Nonprofit,Recovery,Donation Storage & Handling,"Produce Specifications (Imperfect Produce), Donation Tax Incentives, Donation Liability Education, Donation Storage & Handling, Donation Transportation, Community Composting, Animal Feed",Donation Storage & Handling,2013,http://www.thegleaningproject.org,https://www.facebook.com/TheGleaningProjectSCPA/,,,thegleaningproject@gmail.com,39.833736,-77.227801
